Source Name,Charateristics [ff_ontology],Charateristics [description],Characteristics [catalog_id],Characteristics [Category],Chracteristics [Species],Characteristics [Sex],Characteristics [Age],Characteristics [Developmental stage],Characteristics[Tissue],Characteristics [Cell lot],Characteristics [Cell type],Characteristics [Catalogue ID],Characteristics [Collaboration],Characteristics [Provider],Protocol REF,Extract Name,Material Type
10708-109H6,FF:10708-109H6,alveolar cell carcinoma cell line:SW 1573,,cell lines,Human (Homo sapiens),female,44,,lung,,pneumocyte,CRL-2170,FANTOM5 OSC CORE (contact: Al Forrest),ATCC,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10708-109H6,Total RNA
10709-109H7,FF:10709-109H7,bronchioalveolar carcinoma cell line:NCI-H358,,cell lines,Human (Homo sapiens),male,,,lung,,clara cell,CRL-5807,FANTOM5 OSC CORE (contact: Al Forrest),ATCC,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10709-109H7,Total RNA
10710-109H8,FF:10710-109H8,bronchogenic carcinoma cell line:ChaGo-K-1,,cell lines,Human (Homo sapiens),male,45,,lung,,unclassifiable,HTB-168,FANTOM5 OSC CORE (contact: Al Forrest),ATCC,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10710-109H8,Total RNA
10711-109H9,FF:10711-109H9,fibrous histiocytoma cell line:GCT TIB-223,,cell lines,Human (Homo sapiens),male,29,,lung,,unclassifiable,TIB-223,FANTOM5 OSC CORE (contact: Al Forrest),ATCC,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10711-109H9,Total RNA
10712-109I1,FF:10712-109I1,hairy cell leukemia cell line:Mo,,cell lines,Human (Homo sapiens),male,,,blood,,t cell,CRL-8066,FANTOM5 OSC CORE (contact: Al Forrest),ATCC,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10712-109I1,Total RNA
10715-109I4,FF:10715-109I4,bronchioalveolar carcinoma cell line:NCI-H650,,cell lines,Human (Homo sapiens),male,,,lung,,unclassifiable,CRL-5835,FANTOM5 OSC CORE (contact: Al Forrest),ATCC,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10715-109I4,Total RNA
10717-109I6,FF:10717-109I6,acantholytic squamous carcinoma cell line:HCC1806,,cell lines,Human (Homo sapiens),female,60,,breast,,unclassifiable,CRL-2335,FANTOM5 OSC CORE (contact: Al Forrest),ATCC,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10717-109I6,Total RNA
10718-109I7,FF:10718-109I7,biphenotypic B myelomonocytic leukemia cell line:MV-4-11,,cell lines,Human (Homo sapiens),male,10,,blood,,myeloid progenitor cell,CRL-9591,FANTOM5 OSC CORE (contact: Al Forrest),ATCC,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10718-109I7,Total RNA
10719-109I8,FF:10719-109I8,carcinoid cell line:SK-PN-DW,,cell lines,Human (Homo sapiens),male,17,,retroperitoneum,,neuroendocrine cell,CRL-2139,FANTOM5 OSC CORE (contact: Al Forrest),ATCC,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10719-109I8,Total RNA
10721-110A1,FF:10721-110A1,leiomyoblastoma cell line:G-402,,cell lines,Human (Homo sapiens),female,9 months,,kidney,,unclassifiable,CRL-1440,FANTOM5 OSC CORE (contact: Al Forrest),ATCC,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10721-110A1,Total RNA
10722-110A2,FF:10722-110A2,leiomyosarcoma cell line:Hs 5.T,,cell lines,Human (Homo sapiens),female,81,,soft tissue,,unclassifiable,CRL-7822,FANTOM5 OSC CORE (contact: Al Forrest),ATCC,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10722-110A2,Total RNA
10723-110A3,FF:10723-110A3,pharyngeal carcinoma cell line:Detroit 562,,cell lines,Human (Homo sapiens),female,,,pharynx,,unclassifiable,CCL-138,FANTOM5 OSC CORE (contact: Al Forrest),ATCC,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10723-110A3,Total RNA
10726-110A6,FF:10726-110A6,liposarcoma cell line:SW 872,,cell lines,Human (Homo sapiens),male,36,,unclassifiable,,adipocyte,HTB-92,FANTOM5 OSC CORE (contact: Al Forrest),ATCC,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10726-110A6,Total RNA
10727-110A7,FF:10727-110A7,lymphangiectasia cell line:DS-1,,cell lines,Human (Homo sapiens),female,,,blood,,b cell,CRL-11102,FANTOM5 OSC CORE (contact: Al Forrest),ATCC,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10727-110A7,Total RNA
10728-110A8,FF:10728-110A8,neuroepithelioma cell line:SK-N-MC,,cell lines,Human (Homo sapiens),female,14,,brain,,unclassifiable,HTB-10,FANTOM5 OSC CORE (contact: Al Forrest),ATCC,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10728-110A8,Total RNA
10729-110A9,FF:10729-110A9,neurofibroma cell line:Hs 53.T,,cell lines,Human (Homo sapiens),female,13,,peripheral nervous system,,schwann cell,CRL-7033,FANTOM5 OSC CORE (contact: Al Forrest),ATCC,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10729-110A9,Total RNA
10730-110B1,FF:10730-110B1,non-small cell lung cancer cell line:NCI-H1385,,cell lines,Human (Homo sapiens),female,49,,lung,,neuroendocrine cell,CRL-5867,FANTOM5 OSC CORE (contact: Al Forrest),ATCC,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10730-110B1,Total RNA
10732-110B3,FF:10732-110B3,pagetoid sarcoma cell line:Hs 925.T,,cell lines,Human (Homo sapiens),male,58,,skin,,unclassifiable,CRL-7677,FANTOM5 OSC CORE (contact: Al Forrest),ATCC,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10732-110B3,Total RNA
10735-110B6,FF:10735-110B6,carcinoid cell line:NCI-H727,,cell lines,Human (Homo sapiens),female,65,,lung,,neuroendocrine cell,CRL-5815,FANTOM5 OSC CORE (contact: Al Forrest),ATCC,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10735-110B6,Total RNA
10737-110B8,FF:10737-110B8,spindle cell sarcoma cell line:Hs 132.T,,cell lines,Human (Homo sapiens),male,49,,connective tissue,,unclassifiable,CRL-7085,FANTOM5 OSC CORE (contact: Al Forrest),ATCC,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10737-110B8,Total RNA
10742-110C4,FF:10742-110C4,"lung adenocarcinoma, papillary cell line:NCI-H441",,cell lines,Human (Homo sapiens),male,,,lung,,clara cell,HTB-174,FANTOM5 OSC CORE (contact: Al Forrest),ATCC,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10742-110C4,Total RNA
10744-110C6,FF:10744-110C6,"mycosis fungoides, T cell lymphoma cell line:HuT 102 TIB-162",,cell lines,Human (Homo sapiens),male,26,,blood,,t cell,TIB-162,FANTOM5 OSC CORE (contact: Al Forrest),ATCC,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10744-110C6,Total RNA
10752-110D5,FF:10752-110D5,"leukemia, chronic megakaryoblastic cell line:MEG-01",,cell lines,Human (Homo sapiens),male,56,,blood,,megakaryoblast,ifo50151,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10752-110D5,Total RNA
10758-110E2,FF:10758-110E2,fibrosarcoma cell line:HT-1080,,cell lines,Human (Homo sapiens),male,35,,pelvis,,unclassifiable,ifo50354,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10758-110E2,Total RNA
10759-110E3,FF:10759-110E3,medulloblastoma cell line:ONS-76,,cell lines,Human (Homo sapiens),female,2,,brain,,neurectodermal cell,ifo50355,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10759-110E3,Total RNA
10760-110E4,FF:10760-110E4,bronchial squamous cell carcinoma cell line:KNS-62,,cell lines,Human (Homo sapiens),male,49,,lung,,unclassifiable,ifo50358,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10760-110E4,Total RNA
10764-110E8,FF:10764-110E8,acute myeloid leukemia (FAB M5) cell line:NOMO-1,,cell lines,Human (Homo sapiens),female,unknown,,blood,,myeloid progenitor cell,ifo50474,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10764-110E8,Total RNA
10765-110E9,FF:10765-110E9,acute myeloid leukemia (FAB M2) cell line:NKM-1,,cell lines,Human (Homo sapiens),male,33,,blood,,myeloid progenitor cell,ifo50476,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10765-110E9,Total RNA
10766-110F1,FF:10766-110F1,chronic myelogenous leukemia (CML) cell line:MEG-A2,,cell lines,Human (Homo sapiens),male,20,,blood,,myeloid progenitor cell,ifo50478,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10766-110F1,Total RNA
10770-110F5,FF:10770-110F5,acute myeloid leukemia (FAB M5) cell line:P31/FUJ,,cell lines,Human (Homo sapiens),male,7,,blood,,myeloid progenitor cell,jcrb0091,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10770-110F5,Total RNA
10772-110F7,FF:10772-110F7,myelodysplastic syndrome cell line:SKM-1,,cell lines,Human (Homo sapiens),male,76,,blood,,myeloid cell,jcrb0118,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10772-110F7,Total RNA
10774-110F9,FF:10774-110F9,neuroectodermal tumor cell line:TASK1,,cell lines,Human (Homo sapiens),female,21,,thorax,,unclassifiable,jcrb0139,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10774-110F9,Total RNA
10775-110G1,FF:10775-110G1,"lymphoma, malignant, hairy B-cell cell line:MLMA",,cell lines,Human (Homo sapiens),female,32,,blood,,b cell,jcrb0146,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10775-110G1,Total RNA
10776-110G2,FF:10776-110G2,thyroid carcinoma cell line:KHM-5M,,cell lines,Human (Homo sapiens),male,65,,thyroid,,unclassifiable,jcrb0148,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10776-110G2,Total RNA
10777-110G3,FF:10777-110G3,NK T cell leukemia cell line:KHYG-1,,cell lines,Human (Homo sapiens),female,45,,blood,,"t cell, nk, immature",jcrb0156,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10777-110G3,Total RNA
10778-110G4,FF:10778-110G4,hepatic mesenchymal tumor cell line:LI90,,cell lines,Human (Homo sapiens),female,55,,liver,,"adipocyte, lipocyte of liver",jcrb0160,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10778-110G4,Total RNA
10781-110G7,FF:10781-110G7,somatostatinoma cell line:QGP-1,,cell lines,Human (Homo sapiens),female,unknown,,pancreas,,pancreatic delta cell,jcrb0183,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10781-110G7,Total RNA
10782-110G8,FF:10782-110G8,liposarcoma cell line:KMLS-1,,cell lines,Human (Homo sapiens),female,unknown,,retroperitoneum,,adipocyte,jcrb0200,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10782-110G8,Total RNA
10783-110G9,FF:10783-110G9,thyroid carcinoma cell line:TCO-1,,cell lines,Human (Homo sapiens),male,unknown,,thyroid,,unclassifiable,jcrb0239,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10783-110G9,Total RNA
10784-110H1,FF:10784-110H1,mucinous cystadenocarcinoma cell line:MCAS,,cell lines,Human (Homo sapiens),female,unknown,,ovary,,unclassifiable,jcrb0240,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10784-110H1,Total RNA
10785-110H2,FF:10785-110H2,choriocarcinoma cell line:SCH,,cell lines,Human (Homo sapiens),male,46,,stomach,,trophoblast cell,jcrb0251,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10785-110H2,Total RNA
10786-110H3,FF:10786-110H3,testicular germ cell embryonal carcinoma cell line:ITO-II,,cell lines,Human (Homo sapiens),male,unknown,,testis,,unclassifiable,jcrb0613,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10786-110H3,Total RNA
10787-110H4,FF:10787-110H4,rhabdomyosarcoma cell line:KYM-1,,cell lines,Human (Homo sapiens),female,9 months,,neck,,unclassifiable,jcrb0627,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10787-110H4,Total RNA
10788-110H5,FF:10788-110H5,acute myeloid leukemia (FAB M2) cell line:Kasumi-1,,cell lines,Human (Homo sapiens),male,7,,blood,,myeloid progenitor cell,jcrb1003,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10788-110H5,Total RNA
10789-110H6,FF:10789-110H6,acute myeloid leukemia (FAB M0) cell line:Kasumi-3,,cell lines,Human (Homo sapiens),male,57,,blood,,myeloid progenitor cell,jcrb1004,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10789-110H6,Total RNA
10790-110H7,FF:10790-110H7,teratocarcinoma cell line:NCC-IT-A3,,cell lines,Human (Homo sapiens),male,24,,mediastinum,,germ cell,jcrb1005,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10790-110H7,Total RNA
10791-110H8,FF:10791-110H8,keratoacanthoma cell line:HKA-1,,cell lines,Human (Homo sapiens),female,77,,skin,,unclassifiable,jcrb1017,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10791-110H8,Total RNA
10792-110H9,FF:10792-110H9,acute myeloid leukemia (FAB M2) cell line:Kasumi-6,,cell lines,Human (Homo sapiens),male,64,,blood,,myeloid progenitor cell,jcrb1024,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10792-110H9,Total RNA
10795-110I3,FF:10795-110I3,anaplastic large cell lymphoma cell line:Ki-JK,,cell lines,Human (Homo sapiens),male,15,,blood,,lymphoid cell,jcrb1065,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10795-110I3,Total RNA
10796-110I4,FF:10796-110I4,adenocarcinoma cell line:IM95m,,cell lines,Human (Homo sapiens),male,63,,stomach,,unclassifiable,jcrb1075.1,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10796-110I4,Total RNA
10797-110I5,FF:10797-110I5,tubular adenocarcinoma cell line:SUIT-2,,cell lines,Human (Homo sapiens),male,73,,pancreas,,duct cell,jcrb1094,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10797-110I5,Total RNA
10798-110I6,FF:10798-110I6,teratocarcinoma cell line:NCR-G1,,cell lines,Human (Homo sapiens),male,embryo,,testis,,germ cell,jcrb1166,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10798-110I6,Total RNA
10800-110I8,FF:10800-110I8,small cell cervical cancer cell line:HCSC-1,,cell lines,Human (Homo sapiens),female,48,,cervix,,unclassifiable,jcrb1205,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10800-110I8,Total RNA
10801-110I9,FF:10801-110I9,chronic myeloblastic leukemia (CML) cell line:KCL-22,,cell lines,Human (Homo sapiens),female,28,,blood,,granulocyte monocyte progenitor cell,jcrb1317,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10801-110I9,Total RNA
10802-111A1,FF:10802-111A1,acute myeloid leukemia (FAB M7) cell line:MKPL-1,,cell lines,Human (Homo sapiens),male,66,,blood,,myeloid progenitor cell,jcrb1325,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10802-111A1,Total RNA
10803-111A2,FF:10803-111A2,thymic carcinoma cell line:Ty-82,,cell lines,Human (Homo sapiens),female,22,,thymus,,unclassifiable,jcrb1330,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10803-111A2,Total RNA
10805-111A4,FF:10805-111A4,anaplastic squamous cell carcinoma cell line:RPMI 2650,,cell lines,Human (Homo sapiens),male,unknown,,nasal septum,,unclassifiable,jcrb9058,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10805-111A4,Total RNA
10807-111A6,FF:10807-111A6,teratocarcinoma cell line:PA-1,,cell lines,Human (Homo sapiens),female,12,,ovary,,unclassifiable,jcrb9061,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10807-111A6,Total RNA
10808-111A7,FF:10808-111A7,hereditary spherocytic anemia cell line:WIL2-NS,,cell lines,Human (Homo sapiens),male,unknown,,blood,,b cell,jcrb9063,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10808-111A7,Total RNA
10809-111A8,FF:10809-111A8,Wilms' tumor cell line:G-401,,cell lines,Human (Homo sapiens),male,3 months,,kidney,,unclassifiable,jcrb9065,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10809-111A8,Total RNA
10810-111A9,FF:10810-111A9,adrenal cortex adenocarcinoma cell line:SW-13,,cell lines,Human (Homo sapiens),female,unknown,,adrenal gland,,adrenal cortex cell,jcrb9069,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10810-111A9,Total RNA
10812-111B2,FF:10812-111B2,normal intestinal epithelial cell line:FHs 74 Int,,cell lines,Human (Homo sapiens),female,fetal,,small intestine,,"epithelial cell, intestinal",JCRB9076,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10812-111B2,Total RNA
10813-111B3,FF:10813-111B3,normal embryonic palatal mesenchymal cell line:HEPM,,cell lines,Human (Homo sapiens),female,fetal,,palate,,unclassifiable,jcrb9095,FANTOM5 OSC CORE (contact: Al Forrest),JAPAN HEALTH SCIENCES FOUNDATION - Health Science Research Resources Bank,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10813-111B3,Total RNA
10815-111B5,FF:10815-111B5,"epitheloid carcinoma cell line: HelaS3 ENCODE, biol_rep1",,cell lines,Human (Homo sapiens),female,,,cervix,,epithelial cell,,Carrie Davis (Cold spring Harbor Laboratories),,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10815-111B5,Total RNA
10816-111B6,FF:10816-111B6,"epitheloid carcinoma cell line: HelaS3 ENCODE, biol_rep2",,cell lines,Human (Homo sapiens),female,,,cervix,,epithelial cell,,Carrie Davis (Cold spring Harbor Laboratories),,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10816-111B6,Total RNA
10817-111B7,FF:10817-111B7,"epitheloid carcinoma cell line: HelaS3 ENCODE, biol_rep3",,cell lines,Human (Homo sapiens),female,,,cervix,,epithelial cell,,Carrie Davis (Cold spring Harbor Laboratories),,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10817-111B7,Total RNA
10818-111B8,FF:10818-111B8,"hepatocellular carcinoma cell line: HepG2 ENCODE, biol_rep1",,cell lines,Human (Homo sapiens),male,15,,liver,,hepatocyte,,Carrie Davis (Cold spring Harbor Laboratories),,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10818-111B8,Total RNA
10819-111B9,FF:10819-111B9,"hepatocellular carcinoma cell line: HepG2 ENCODE, biol_rep2",,cell lines,Human (Homo sapiens),male,15,,liver,,hepatocyte,,Carrie Davis (Cold spring Harbor Laboratories),,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10819-111B9,Total RNA
10820-111C1,FF:10820-111C1,"hepatocellular carcinoma cell line: HepG2 ENCODE, biol_rep3",,cell lines,Human (Homo sapiens),male,15,,liver,,hepatocyte,,Carrie Davis (Cold spring Harbor Laboratories),,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10820-111C1,Total RNA
10821-111C2,FF:10821-111C2,"B lymphoblastoid cell line: GM12878 ENCODE, biol_rep1",,cell lines,Human (Homo sapiens),female,,,blood,,b cell,,Carrie Davis (Cold spring Harbor Laboratories),,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10821-111C2,Total RNA
10822-111C3,FF:10822-111C3,"B lymphoblastoid cell line: GM12878 ENCODE, biol_rep2",,cell lines,Human (Homo sapiens),female,,,blood,,b cell,,Carrie Davis (Cold spring Harbor Laboratories),,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10822-111C3,Total RNA
10823-111C4,FF:10823-111C4,"B lymphoblastoid cell line: GM12878 ENCODE, biol_rep3",,cell lines,Human (Homo sapiens),female,,,blood,,b cell,,Carrie Davis (Cold spring Harbor Laboratories),,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10823-111C4,Total RNA
10824-111C5,FF:10824-111C5,"chronic myelogenous leukemia cell line:K562 ENCODE, biol_rep1",,cell lines,Human (Homo sapiens),female,53,,blood,,granulocyte,,Carrie Davis (Cold spring Harbor Laboratories),,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10824-111C5,Total RNA
10825-111C6,FF:10825-111C6,"chronic myelogenous leukemia cell line:K562 ENCODE, biol_rep2",,cell lines,Human (Homo sapiens),female,53,,blood,,granulocyte,,Carrie Davis (Cold spring Harbor Laboratories),,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10825-111C6,Total RNA
10826-111C7,FF:10826-111C7,"chronic myelogenous leukemia cell line:K562 ENCODE, biol_rep3",,cell lines,Human (Homo sapiens),female,53,,blood,,granulocyte,,Carrie Davis (Cold spring Harbor Laboratories),,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10826-111C7,Total RNA
10827-111C8,FF:10827-111C8,acute myeloid leukemia (FAB M0) cell line:KG-1,,cell lines,Human (Homo sapiens),male,59,,blood,,myeloid progenitor cell,RCB1166,Yukio Nakamura (RIKEN BRC),RIKEN Bioresource centre,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10827-111C8,Total RNA
10828-111C9,FF:10828-111C9,acute myeloid leukemia (FAB M1) cell line:HYT-1,,cell lines,Human (Homo sapiens),male,62,,blood,,myeloid progenitor cell,RCB1297,Yukio Nakamura (RIKEN BRC),RIKEN Bioresource centre,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10828-111C9,Total RNA
10829-111D1,FF:10829-111D1,acute myeloid leukemia (FAB M3) cell line:HL60,,cell lines,Human (Homo sapiens),female,unknown,,blood,,myeloid progenitor cell,RCB0041,Yukio Nakamura (RIKEN BRC),RIKEN Bioresource centre,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10829-111D1,Total RNA
10830-111D2,FF:10830-111D2,acute myeloid leukemia (FAB M4) cell line:FKH-1,,cell lines,Human (Homo sapiens),male,60,,blood,,myeloid progenitor cell,RCB1428,Yukio Nakamura (RIKEN BRC),RIKEN Bioresource centre,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10830-111D2,Total RNA
10831-111D3,FF:10831-111D3,acute myeloid leukemia (FAB M4) cell line:HNT-34,,cell lines,Human (Homo sapiens),female,45,,blood,,myeloid progenitor cell,RCB1296,Yukio Nakamura (RIKEN BRC),RIKEN Bioresource centre,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,10831-111D3,Total RNA
