Source Name,Charateristics [ff_ontology],Charateristics [description],Characteristics [catalog_id],Characteristics [Category],Chracteristics [Species],Characteristics [Sex],Characteristics [Age],Characteristics [Developmental stage],Characteristics[Tissue],Characteristics [Cell lot],Characteristics [Cell type],Characteristics [Catalogue ID],Characteristics [Collaboration],Characteristics [Provider],Protocol REF,Extract Name,Material Type
12129-128D5,FF:12129-128D5,"granulocyte macrophage progenitor GMP, biol_rep3",rep3,primary cells,Mouse (Mus musculus),male,9-10weeks,,bone marrow,,granulocyte macrophage progenitor,,Kitamura/Nakahara,,,12129-128D5,Total RNA
12-14D5,FF:12-14D5,"cortex, adult",,developmental,Mouse (Mus musculus),male,,adult,cortex,,CELL MIXTURE - tissue sample,,FANTOM5 OSC CORE (contact: Al Forrest),,,12-14D5,Total RNA
12157-128G6,FF:12157-128G6,"Sox2+ Supporting cells - organ of corti, pool1",,primary cells,Mouse (Mus musculus),mixed,,,organ of corti,,SELECT CELL TYPE,,"Albert Edge (Department of Otolaryngology, Harvard Medical School)",,,12157-128G6,Total RNA
12158-128G7,FF:12158-128G7,"Atoh+ Inner ear hair cells - organ of corti, pool1",,primary cells,Mouse (Mus musculus),mixed,,,organ of corti,,"hair cell, organ of corti, inner",,"Albert Edge (Department of Otolaryngology, Harvard Medical School)",,,12158-128G7,Total RNA
12159-128G8,FF:12159-128G8,"MC1+Gr1+ myeloid-derived suppressor cells cancer, donor1 (10,11,12 3LL)",,primary cells,Mouse (Mus musculus),,,,bone marrow,,stem cell,,Hozumi Motohashi (Tohoku University Graduate School of Medicine),,,12159-128G8,Total RNA
12160-128G9,FF:12160-128G9,"MC1+Gr1+ myeloid-derived suppressor cells control, donor1 (4,5,6PBS)",,primary cells,Mouse (Mus musculus),,,,bone marrow,,stem cell,,Hozumi Motohashi (Tohoku University Graduate School of Medicine),,,12160-128G9,Total RNA
12161-128H1,FF:12161-128H1,"MC1+Gr1+ myeloid-derived suppressor cells cancer, donor2 (0127 3LL)",,primary cells,Mouse (Mus musculus),,,,bone marrow,,stem cell,,Hozumi Motohashi (Tohoku University Graduate School of Medicine),,,12161-128H1,Total RNA
12162-128H2,FF:12162-128H2,"MC1+Gr1+ myeloid-derived suppressor cells control, donor2 (0127 PBS)",,primary cells,Mouse (Mus musculus),,,,bone marrow,,stem cell,,Hozumi Motohashi (Tohoku University Graduate School of Medicine),,,12162-128H2,Total RNA
12163-128H3,FF:12163-128H3,"MC1+Gr1+ myeloid-derived suppressor cells cancer, donor3 (0128 3LL)",,primary cells,Mouse (Mus musculus),,,,bone marrow,,stem cell,,Hozumi Motohashi (Tohoku University Graduate School of Medicine),,,12163-128H3,Total RNA
12164-128H4,FF:12164-128H4,"MC1+Gr1+ myeloid-derived suppressor cells control, donor3 (0128 PBS)",,primary cells,Mouse (Mus musculus),,,,bone marrow,,stem cell,,Hozumi Motohashi (Tohoku University Graduate School of Medicine),,,12164-128H4,Total RNA
12215-129E1,FF:12215-129E1,"Inner ear stem cells, 1st generation stem cells, pool1",,primary cells,Mouse (Mus musculus),,,,organ of corti,,"hair cell, organ of corti, inner",,"Albert Edge (Department of Otolaryngology, Harvard Medical School)",,,12215-129E1,Total RNA
12216-129E2,FF:12216-129E2,"Inner ear stem cells, 4th generation stem cells, pool1",,primary cells,Mouse (Mus musculus),,,,organ of corti,,"hair cell, organ of corti, inner",,"Albert Edge (Department of Otolaryngology, Harvard Medical School)",,,12216-129E2,Total RNA
12217-129E3,FF:12217-129E3,"Inner ear stem cells, differentiation, day03, pool1",,primary cells,Mouse (Mus musculus),,,,organ of corti,,"hair cell, organ of corti, inner",,"Albert Edge (Department of Otolaryngology, Harvard Medical School)",,,12217-129E3,Total RNA
12218-129E4,FF:12218-129E4,"Inner ear stem cells, differentiation, day10, pool1",,primary cells,Mouse (Mus musculus),,,,organ of corti,,"hair cell, organ of corti, inner",,"Albert Edge (Department of Otolaryngology, Harvard Medical School)",,,12218-129E4,Total RNA
12228-129F5,FF:12228-129F5,"Lgr5 positive intestinal stem cells, pool1",,primary cells,Mouse (Mus musculus),male,,,small intestine,8122010,stem cell,,Marc van de Wetering,,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,12228-129F5,Total RNA
12229-129F6,FF:12229-129F6,"Lgr5 positive intestinal stem cells, pool2",,primary cells,Mouse (Mus musculus),female,,,small intestine,9122010,stem cell,,Marc van de Wetering,,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,12229-129F6,Total RNA
12230-129F7,FF:12230-129F7,"Lgr5 positive intestinal stem cells, pool3",,primary cells,Mouse (Mus musculus),female,,,small intestine,10122010,stem cell,,Marc van de Wetering,,OP-RNA-extraction-totalRNA-miRNeasy_Mini-v1.0,12230-129F7,Total RNA
12247-129H6,FF:12247-129H6,"natural helper cells, IL2 treated, day15, biol_rep1",1,primary cells,Mouse (Mus musculus),,,,unclassifiable,,natural helper cells,,Koyasu,,OP-RNA-extraction-totalRNA-TRIzol-ethanol-v1.0,12247-129H6,Total RNA
12248-129H7,FF:12248-129H7,"natural helper cells, IL2 treated, day15, biol_rep2",2,primary cells,Mouse (Mus musculus),,,,unclassifiable,,natural helper cells,,Koyasu,,OP-RNA-extraction-totalRNA-TRIzol-ethanol-v1.0,12248-129H7,Total RNA
12249-129H8,FF:12249-129H8,"natural helper cells, IL2 treated, day15, biol_rep3",3,primary cells,Mouse (Mus musculus),,,,unclassifiable,,natural helper cells,,Koyasu,,OP-RNA-extraction-totalRNA-TRIzol-ethanol-v1.0,12249-129H8,Total RNA
12250-129H9,FF:12250-129H9,"natural helper cells, IL33 treated, day02, biol_rep1",4,primary cells,Mouse (Mus musculus),,,,unclassifiable,,natural helper cells,,Koyasu,,OP-RNA-extraction-totalRNA-TRIzol-ethanol-v1.0,12250-129H9,Total RNA
12251-129I1,FF:12251-129I1,"natural helper cells, IL33 treated, day02, biol_rep2",5,primary cells,Mouse (Mus musculus),,,,unclassifiable,,natural helper cells,,Koyasu,,OP-RNA-extraction-totalRNA-TRIzol-ethanol-v1.0,12251-129I1,Total RNA
12252-129I2,FF:12252-129I2,"natural helper cells, IL33 treated, day02, biol_rep3",6,primary cells,Mouse (Mus musculus),,,,unclassifiable,,natural helper cells,,Koyasu,,OP-RNA-extraction-totalRNA-TRIzol-ethanol-v1.0,12252-129I2,Total RNA
12253-129I3,FF:12253-129I3,"natural helper cells, IL33 treated, 01hr, biol_rep1",7,primary cells,Mouse (Mus musculus),,,,unclassifiable,,natural helper cells,,Koyasu,,OP-RNA-extraction-totalRNA-TRIzol-ethanol-v1.0,12253-129I3,Total RNA
12254-129I4,FF:12254-129I4,"natural helper cells, IL33 treated, 01hr, biol_rep2",8,primary cells,Mouse (Mus musculus),,,,unclassifiable,,natural helper cells,,Koyasu,,OP-RNA-extraction-totalRNA-TRIzol-ethanol-v1.0,12254-129I4,Total RNA
12255-129I5,FF:12255-129I5,"natural helper cells, IL33 treated, 01hr, biol_rep3",9,primary cells,Mouse (Mus musculus),,,,unclassifiable,,natural helper cells,,Koyasu,,OP-RNA-extraction-totalRNA-TRIzol-ethanol-v1.0,12255-129I5,Total RNA
12256-129I6,FF:12256-129I6,"natural helper cells, naive, biol_rep1",10,primary cells,Mouse (Mus musculus),,,,unclassifiable,,natural helper cells,,Koyasu,,OP-RNA-extraction-totalRNA-TRIzol-ethanol-v1.0,12256-129I6,Total RNA
12257-129I7,FF:12257-129I7,"natural helper cells, naive, biol_rep2",11,primary cells,Mouse (Mus musculus),,,,unclassifiable,,natural helper cells,,Koyasu,,OP-RNA-extraction-totalRNA-TRIzol-ethanol-v1.0,12257-129I7,Total RNA
12258-129I8,FF:12258-129I8,"natural helper cells, naive, biol_rep3",12,primary cells,Mouse (Mus musculus),,,,unclassifiable,,natural helper cells,,Koyasu,,OP-RNA-extraction-totalRNA-TRIzol-ethanol-v1.0,12258-129I8,Total RNA
12308-130F4,FF:12308-130F4,"ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes, 00hr15min, biol_rep1 (015mA1)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12308-130F4,Total RNA
12309-130F5,FF:12309-130F5,"ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes, 00hr30min, biol_rep1 (030mA1)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12309-130F5,Total RNA
12310-130F6,FF:12310-130F6,"ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes, 01hr, biol_rep1 (001hA1)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12310-130F6,Total RNA
12311-130F7,FF:12311-130F7,"ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes, 02hr, biol_rep1 (002hA1)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12311-130F7,Total RNA
12312-130F8,FF:12312-130F8,"ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes, 03hr, biol_rep1 (003hA1)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12312-130F8,Total RNA
12313-130F9,FF:12313-130F9,"ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes, 06hr, biol_rep1 (006hA1)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12313-130F9,Total RNA
12314-130G1,FF:12314-130G1,"ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes, 12hr, biol_rep1 (012hA1)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12314-130G1,Total RNA
12315-130G2,FF:12315-130G2,"ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes, 18hr, biol_rep1 (018hA1)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12315-130G2,Total RNA
12316-130G3,FF:12316-130G3,"ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes, 24hr, biol_rep1 (024hA1)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12316-130G3,Total RNA
12317-130G4,FF:12317-130G4,"ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes, 36hr, biol_rep1 (036hA1)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12317-130G4,Total RNA
12318-130G5,FF:12318-130G5,"ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes, day02, biol_rep1 (048hA1)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12318-130G5,Total RNA
12319-130G6,FF:12319-130G6,"ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes, day03, biol_rep1 (072hA1)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12319-130G6,Total RNA
12320-130G7,FF:12320-130G7,"ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes, day04, biol_rep1 (096hA1)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12320-130G7,Total RNA
12321-130G8,FF:12321-130G8,"ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes, day05, biol_rep1 (120hA1)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12321-130G8,Total RNA
12322-130G9,FF:12322-130G9,"ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes, day06, biol_rep1 (144hA1)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12322-130G9,Total RNA
12323-130H1,FF:12323-130H1,"ST2 (Mesenchymal stem cells) cells, differentiation to osteocytes, 00hr15min, biol_rep1 (015mB1)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12323-130H1,Total RNA
12324-130H2,FF:12324-130H2,"ST2 (Mesenchymal stem cells) cells, differentiation to osteocytes, 00hr30min, biol_rep1 (030mB1)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12324-130H2,Total RNA
12325-130H3,FF:12325-130H3,"ST2 (Mesenchymal stem cells) cells, differentiation to osteocytes, 01hr, biol_rep1 (001hB1)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12325-130H3,Total RNA
12326-130H4,FF:12326-130H4,"ST2 (Mesenchymal stem cells) cells, differentiation to osteocytes, 02hr, biol_rep1 (002hB1)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12326-130H4,Total RNA
12327-130H5,FF:12327-130H5,"ST2 (Mesenchymal stem cells) cells, differentiation to osteocytes, 03hr, biol_rep1 (003hB1)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12327-130H5,Total RNA
12328-130H6,FF:12328-130H6,"ST2 (Mesenchymal stem cells) cells, differentiation to osteocytes, 06hr, biol_rep1 (006hB1)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12328-130H6,Total RNA
12329-130H7,FF:12329-130H7,"ST2 (Mesenchymal stem cells) cells, differentiation to osteocytes, 12hr, biol_rep1 (012hB1)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12329-130H7,Total RNA
12330-130H8,FF:12330-130H8,"ST2 (Mesenchymal stem cells) cells, differentiation to osteocytes, 18hr, biol_rep1 (018hB1)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12330-130H8,Total RNA
12331-130H9,FF:12331-130H9,"ST2 (Mesenchymal stem cells) cells, differentiation to osteocytes, 24hr, biol_rep1 (024hB1)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12331-130H9,Total RNA
12332-130I1,FF:12332-130I1,"ST2 (Mesenchymal stem cells) cells, differentiation to osteocytes, 36hr, biol_rep1 (036hB1)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12332-130I1,Total RNA
12333-130I2,FF:12333-130I2,"ST2 (Mesenchymal stem cells) cells, differentiation to osteocytes, day02, biol_rep1 (048hB1)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12333-130I2,Total RNA
12334-130I3,FF:12334-130I3,"ST2 (Mesenchymal stem cells) cells, differentiation to osteocytes, day03, biol_rep1 (072hB1)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12334-130I3,Total RNA
12335-130I4,FF:12335-130I4,"ST2 (Mesenchymal stem cells) cells, differentiation to osteocytes, day04, biol_rep1 (096hB1)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12335-130I4,Total RNA
12336-130I5,FF:12336-130I5,"ST2 (Mesenchymal stem cells) cells, differentiation to osteocytes, day05, biol_rep1 (120hB1)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12336-130I5,Total RNA
12337-130I6,FF:12337-130I6,"ST2 (Mesenchymal stem cells) cells, differentiation to osteocytes, day06, biol_rep1 (144hB1)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12337-130I6,Total RNA
12338-130I7,FF:12338-130I7,"ST2 (Mesenchymal stem cells) cells, medium change (without induction), 00hr, biol_rep1 (000hC4)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12338-130I7,Total RNA
12347-131A7,FF:12347-131A7,"ST2 (Mesenchymal stem cells) cells, medium change (without induction), day06, biol_rep1 (144hC1)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12347-131A7,Total RNA
12430-132A9,FF:12430-132A9,"ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes, 00hr15min, biol_rep2 (015mA2)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12430-132A9,Total RNA
12431-132B1,FF:12431-132B1,"ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes, 00hr30min, biol_rep2 (030mA2)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12431-132B1,Total RNA
12432-132B2,FF:12432-132B2,"ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes, 01hr, biol_rep2 (001hA2)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12432-132B2,Total RNA
12433-132B3,FF:12433-132B3,"ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes, 02hr, biol_rep2 (002hA2)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12433-132B3,Total RNA
12434-132B4,FF:12434-132B4,"ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes, 03hr, biol_rep2 (003hA2)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12434-132B4,Total RNA
12435-132B5,FF:12435-132B5,"ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes, 06hr, biol_rep2 (006hA2)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12435-132B5,Total RNA
12436-132B6,FF:12436-132B6,"ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes, 12hr, biol_rep2 (012hA2)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12436-132B6,Total RNA
12437-132B7,FF:12437-132B7,"ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes, 18hr, biol_rep2 (018hA2)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12437-132B7,Total RNA
12438-132B8,FF:12438-132B8,"ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes, 24hr, biol_rep2 (024hA2)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12438-132B8,Total RNA
12439-132B9,FF:12439-132B9,"ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes, 36hr, biol_rep2 (036hA2)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12439-132B9,Total RNA
12440-132C1,FF:12440-132C1,"ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes, day02, biol_rep2 (048hA2)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12440-132C1,Total RNA
12441-132C2,FF:12441-132C2,"ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes, day03, biol_rep2 (072hA2)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12441-132C2,Total RNA
12442-132C3,FF:12442-132C3,"ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes, day04, biol_rep2 (096hA2)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12442-132C3,Total RNA
12443-132C4,FF:12443-132C4,"ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes, day05, biol_rep2 (120hA2)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12443-132C4,Total RNA
12444-132C5,FF:12444-132C5,"ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes, day06, biol_rep2 (144hA2)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12444-132C5,Total RNA
12445-132C6,FF:12445-132C6,"ST2 (Mesenchymal stem cells) cells, differentiation to osteocytes, 00hr15min, biol_rep2 (015mB2)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12445-132C6,Total RNA
12446-132C7,FF:12446-132C7,"ST2 (Mesenchymal stem cells) cells, differentiation to osteocytes, 00hr30min, biol_rep2 (030mB2)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12446-132C7,Total RNA
12447-132C8,FF:12447-132C8,"ST2 (Mesenchymal stem cells) cells, differentiation to osteocytes, 01hr, biol_rep2 (001hB2)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12447-132C8,Total RNA
12448-132C9,FF:12448-132C9,"ST2 (Mesenchymal stem cells) cells, differentiation to osteocytes, 02hr, biol_rep2 (002hB2)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12448-132C9,Total RNA
12449-132D1,FF:12449-132D1,"ST2 (Mesenchymal stem cells) cells, differentiation to osteocytes, 03hr, biol_rep2 (003hB2)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12449-132D1,Total RNA
12450-132D2,FF:12450-132D2,"ST2 (Mesenchymal stem cells) cells, differentiation to osteocytes, 06hr, biol_rep2 (006hB2)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12450-132D2,Total RNA
12451-132D3,FF:12451-132D3,"ST2 (Mesenchymal stem cells) cells, differentiation to osteocytes, 12hr, biol_rep2 (012hB2)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12451-132D3,Total RNA
12452-132D4,FF:12452-132D4,"ST2 (Mesenchymal stem cells) cells, differentiation to osteocytes, 18hr, biol_rep2 (018hB2)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12452-132D4,Total RNA
12453-132D5,FF:12453-132D5,"ST2 (Mesenchymal stem cells) cells, differentiation to osteocytes, 24hr, biol_rep2 (024hB2)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12453-132D5,Total RNA
12454-132D6,FF:12454-132D6,"ST2 (Mesenchymal stem cells) cells, differentiation to osteocytes, 36hr, biol_rep2 (036hB2)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12454-132D6,Total RNA
12455-132D7,FF:12455-132D7,"ST2 (Mesenchymal stem cells) cells, differentiation to osteocytes, day02, biol_rep2 (048hB2)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12455-132D7,Total RNA
12456-132D8,FF:12456-132D8,"ST2 (Mesenchymal stem cells) cells, differentiation to osteocytes, day03, biol_rep2 (072hB2)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12456-132D8,Total RNA
12457-132D9,FF:12457-132D9,"ST2 (Mesenchymal stem cells) cells, differentiation to osteocytes, day04, biol_rep2 (096hB2)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12457-132D9,Total RNA
12458-132E1,FF:12458-132E1,"ST2 (Mesenchymal stem cells) cells, differentiation to osteocytes, day05, biol_rep2 (120hB2)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12458-132E1,Total RNA
12459-132E2,FF:12459-132E2,"ST2 (Mesenchymal stem cells) cells, differentiation to osteocytes, day06, biol_rep2 (144hB2)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12459-132E2,Total RNA
12460-132E3,FF:12460-132E3,"ST2 (Mesenchymal stem cells) cells, medium change (without induction), 00hr, biol_rep2 (000hC5)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12460-132E3,Total RNA
12469-132F3,FF:12469-132F3,"ST2 (Mesenchymal stem cells) cells, medium change (without induction), day06, biol_rep2 (144hC2)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12469-132F3,Total RNA
1251-16I5,FF:1251-16I5,"intestine, embryo E12",,developmental,Mouse (Mus musculus),mixture,,12 days embryo,intestine,,CELL MIXTURE - tissue sample,,FANTOM5 OSC CORE (contact: Al Forrest),,,1251-16I5,Total RNA
1252-16G8,FF:1252-16G8,"stomach, embryo E15",,developmental,Mouse (Mus musculus),mixture,,15 days embryo,stomach,,CELL MIXTURE - tissue sample,,FANTOM5 OSC CORE (contact: Al Forrest),,,1252-16G8,Total RNA
1254-43D6,FF:1254-43D6,"adrenal gland, embryo E16",,developmental,Mouse (Mus musculus),mixture,,16 days embryo,adrenal gland,,CELL MIXTURE - tissue sample,,FANTOM5 OSC CORE (contact: Al Forrest),,,1254-43D6,Total RNA
12552-133F5,FF:12552-133F5,"ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes, 00hr15min, biol_rep3 (015mA3)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12552-133F5,Total RNA
12553-133F6,FF:12553-133F6,"ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes, 00hr30min, biol_rep3 (030mA3)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12553-133F6,Total RNA
12554-133F7,FF:12554-133F7,"ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes, 01hr, biol_rep3 (001hA3)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12554-133F7,Total RNA
12555-133F8,FF:12555-133F8,"ST2 (Mesenchymal stem cells) cells, differentiation to adipocytes, 02hr, biol_rep3 (002hA3)",,time courses,Mouse (Mus musculus),,,,bone marrow,,mesenchymal stem cell,,Yasushi Okazaki (Saitama medical college),,,12555-133F8,Total RNA
